95
123 463
361 545
381 598
277 125
178 494
399 700
698 368
359 425
423 512
318 465
140 250
590 364
622 199
459 228
406 289
428 173
350 320
444 339
407 263
376 541
301 368
630 410
685 492
400 100
332 400
244 378
390 367
466 430
685 439
271 511
522 674
114 307
337 106
288 551
659 250
528 513
378 373
372 429
548 419
114 492
576 642
194 370
383 418
522 125
337 693
419 510
364 411
659 550
475 276
201 393
101 368
685 307
277 674
490 292
371 435
452 419
101 431
576 157
323 350
252 459
361 453
232 289
341 293
462 693
471 308
622 600
241 393
178 320
503 181
253 318
403 253
614 528
223 642
442 542
563 507
318 328
394 277
280 451
223 157
167 505
379 564
588 406
348 423
208 232
140 550
462 106
698 431
524 337
465 155
177 600
260 448
322 275
445 344
358 443
177 199
