80
423 427
463 590
256 541
263 527
345 481
418 417
418 422
339 375
324 404
253 414
251 551
266 521
486 545
404 245
376 357
446 382
440 530
398 543
196 660
246 429
457 390
410 524
236 408
356 430
404 442
427 434
75 670
303 446
373 507
393 437
376 339
301 502
342 239
315 302
433 380
348 467
388 476
332 568
365 92
412 549
357 602
363 485
414 410
348 645
468 512
425 439
356 534
414 547
415 429
334 275
392 517
296 460
393 425
290 472
437 377
469 514
516 544
413 408
390 492
205 420
424 429
439 471
393 547
400 252
400 383
298 457
410 482
431 592
589 594
297 550
351 484
360 471
425 446
554 464
413 476
170 553
304 444
401 584
673 670
373 548
